Campaign,Campaign Daily Budget,Campaign Type,Networks,Ad Group,Max CPC,Keyword,Criterion Type,Final URL,Status
Evenox - Photobooth,30,Search,Google search,Photobooth Montreal,4.00,location photobooth montreal,Exact,https://evenox.ca/location-photobooth-montreal/,Enabled
Evenox - Photobooth,30,Search,Google search,Photobooth Montreal,4.00,louer photobooth montreal,Exact,https://evenox.ca/location-photobooth-montreal/,Enabled
Evenox - Photobooth,30,Search,Google search,Photobooth Montreal,4.00,photo booth rental montreal,Phrase,https://evenox.ca/location-photobooth-montreal/,Enabled
Evenox - Photobooth,30,Search,Google search,Photobooth Montreal,4.00,location photobooth mariage,Phrase,https://evenox.ca/location-photobooth-montreal/,Enabled
Evenox - Photobooth,30,Search,Google search,Photobooth Laval,4.00,location photobooth laval,Exact,https://evenox.ca/location-photobooth-laval/,Enabled
Evenox - Photobooth,30,Search,Google search,Photobooth Laval,4.00,360 photo booth rental laval,Phrase,https://evenox.ca/location-photobooth-laval/,Enabled
Evenox - Photobooth,30,Search,Google search,Photobooth Rive-Nord,4.00,location photobooth rive-nord,Exact,https://evenox.ca/location-photobooth-rive-nord/,Enabled
Evenox - Photobooth,30,Search,Google search,Photobooth Rive-Nord,4.00,location photobooth terrebonne,Phrase,https://evenox.ca/location-photobooth-rive-nord/,Enabled
Evenox - Photobooth,30,Search,Google search,Photobooth Rive-Nord,4.00,location photobooth blainville,Phrase,https://evenox.ca/location-photobooth-rive-nord/,Enabled
Evenox - Photobooth,30,Search,Google search,Videobooth 360,4.00,photobooth 360 location,Exact,https://evenox.ca/location-videobooth-360/,Enabled
Evenox - Photobooth,30,Search,Google search,Videobooth 360,4.00,location videobooth 360,Exact,https://evenox.ca/location-videobooth-360/,Enabled
Evenox - Photobooth,30,Search,Google search,Videobooth 360,4.00,prix location photobooth,Phrase,https://evenox.ca/location-videobooth-360/,Enabled
Evenox - Mobilier,22,Search,Google search,Tables et chaises Montreal,4.00,location tables et chaises montreal,Exact,https://evenox.ca/location-tables-chaises-montreal/,Enabled
Evenox - Mobilier,22,Search,Google search,Tables et chaises Montreal,4.00,location table pliante montreal,Exact,https://evenox.ca/location-tables-chaises-montreal/,Enabled
Evenox - Mobilier,22,Search,Google search,Tables et chaises Montreal,4.00,table and chair rental montreal,Phrase,https://evenox.ca/location-tables-chaises-montreal/,Enabled
Evenox - Mobilier,22,Search,Google search,Tables et chaises Laval,4.00,location chaises laval,Exact,https://evenox.ca/location-tables-chaises-laval/,Enabled
Evenox - Mobilier,22,Search,Google search,Tables et chaises Laval,4.00,location tables chaises mariage,Phrase,https://evenox.ca/location-tables-chaises-laval/,Enabled
Evenox - Mobilier,22,Search,Google search,Tables et chaises Laval,4.00,louer chaises evenement,Phrase,https://evenox.ca/location-tables-chaises-laval/,Enabled
Evenox - Mobilier,22,Search,Google search,Chaises Chiavari,4.00,location chaises chiavari,Exact,https://evenox.ca/forfaits-tables-chaises/,Enabled
Evenox - Mobilier,22,Search,Google search,Chaises Chiavari,4.00,location mobilier evenementiel montreal,Phrase,https://evenox.ca/forfaits-tables-chaises/,Enabled
Evenox - Mobilier,22,Search,Google search,Chaises Chiavari,4.00,location nappes tables,Phrase,https://evenox.ca/forfaits-tables-chaises/,Enabled
Evenox - Corporatif,23,Search,Google search,Party de bureau,4.00,party de bureau cle en main,Exact,https://evenox.ca/forfait-party-de-bureau/,Enabled
Evenox - Corporatif,23,Search,Google search,Party de bureau,4.00,animation party de bureau,Phrase,https://evenox.ca/forfait-party-de-bureau/,Enabled
Evenox - Corporatif,23,Search,Google search,Party de bureau,4.00,activite 5 a 7 entreprise,Phrase,https://evenox.ca/forfait-party-de-bureau/,Enabled
Evenox - Corporatif,23,Search,Google search,Party de Noel,4.00,organisation party de noel entreprise,Exact,https://evenox.ca/party-noel-corporatif/,Enabled
Evenox - Corporatif,23,Search,Google search,Party de Noel,4.00,location materiel evenement corporatif,Exact,https://evenox.ca/party-noel-corporatif/,Enabled
Evenox - Corporatif,23,Search,Google search,Team building,4.00,team building montreal entreprise,Exact,https://evenox.ca/team-building-activitecorpo/,Enabled
Evenox - Corporatif,23,Search,Google search,Team building,4.00,location jeux evenement corporatif,Phrase,https://evenox.ca/team-building-activitecorpo/,Enabled
Evenox - Corporatif,23,Search,Google search,Team building,4.00,corporate event rental montreal,Phrase,https://evenox.ca/team-building-activitecorpo/,Enabled
