Campaign,Campaign Type,Campaign Daily Budget,Campaign Status,Networks,Languages,Location,Ad Schedule,Bid Strategy Type,Max CPC Bid Limit,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location chaise,Phrase,,,,,,,,,,,,,,,,,,,,,,
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location chaise,Exact,,,,,,,,,,,,,,,,,,,,,,
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location chaises,Phrase,,,,,,,,,,,,,,,,,,,,,,
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location chaises,Exact,,,,,,,,,,,,,,,,,,,,,,
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location chaises pliantes,Phrase,,,,,,,,,,,,,,,,,,,,,,
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location chaises pliantes,Exact,,,,,,,,,,,,,,,,,,,,,,
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location de chaises laval,Phrase,,,,,,,,,,,,,,,,,,,,,,
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location de chaises laval,Exact,,,,,,,,,,,,,,,,,,,,,,
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location chaise rive-nord,Phrase,,,,,,,,,,,,,,,,,,,,,,
S1 Équipement chaises-tables,Search,18,Enabled,Google search,French;English,"Laval, Quebec, Canada;Terrebonne, Quebec, Canada;Blainville, Quebec, Canada;Sainte-Therese, Quebec, Canada;Boisbriand, Quebec, Canada;Mirabel, Quebec, Canada;Saint-Jerome, Quebec, Canada;Mascouche, Quebec, Canada;Repentigny, Quebec, Canada;Montreal, Quebec, Canada;Rosemere, Quebec, Canada;Lorraine, Quebec, Canada;Bois-des-Filion, Quebec, Canada;Sainte-Anne-des-Plaines, Quebec, Canada;Saint-Eustache, Quebec, Canada;Deux-Montagnes, Quebec, Canada",Monday 09:00-18:00;Tuesday 09:00-18:00;Wednesday 09:00-18:00;Thursday 09:00-18:00;Friday 09:00-18:00,Maximize clicks,2.50,Chaises pliantes,Enabled,2.50,location chaise rive-nord,Exact,,,,,,,,,,,,,,,,,,,,,,
